relative_path,accession,title,pages,size,sha256,doi_found,relevance,status,repo_matches
Wave 5/AD1340820_Thermo-HydrodynamicsofaStronglyCoupledPlasma.pdf,AD1340820,Thermo Hydrodynamicsofa Strongly Coupled Plasma,35,3734722,d2b9cecde8275721cfc0205821642623c8bf21b94b9ffc02dc19300df74b2468,,low,intake_unreviewed_not_KR,
Wave2/AD1036184_Multi-scaleandmulti-bphysicsbbsimulationsbusingthemult.pdf,AD1036184,Multi scaleandmulti physics simulations usingthemult,32,11376874,3bf9895a5579a718879d747ba675b767d372325a8837b48da23c9780e9ce6c16,,low,intake_unreviewed_not_KR,
Wave2/AD1038890_ALEGRA-bMHDbSimulationsforMagnetizationofanEllipsoidalIncl.pdf,AD1038890,ALEGRA MHD Simulationsfor Magnetizationofan Ellipsoidal Incl,26,479205,e2b69c609f2285fbe309225111425ba6ab7020ce20ef224a7da1e6456026916c,,medium,intake_unreviewed_not_KR,
Wave2/AD1057898_3-DbALEGRAbSimulationsofMagneticFieldShieldingEffectsofC.pdf,AD1057898,3 D ALEGRA Simulationsof Magnetic Field Shielding Effectsof C,17,1272208,4e04c8807de9a1c43d373a77671b63470e68361e8054aa7dcc19a4cdb4e39e8c,,medium,intake_unreviewed_not_KR,
Wave2/AD1096774_ALE3D-bMHDbModelingofModifiedSqueeze5MagneticFluxCompress.pdf,AD1096774,ALE3D MHD Modelingof Modified Squeeze5Magnetic Flux Compress,22,1656227,7022ab0decd65498ca66d865da7187065690073b19bd7605280c08b1d0694d29,,medium,intake_unreviewed_not_KR,
Wave2/AD1097132_Physics-Based-AdaptivebPlasmabModelforHigh-FidelityNumerical.pdf,AD1097132,Physics Based Adaptive Plasma Modelfor High Fidelity Numerical,25,1799294,68a8c2e87812438e5439560a3627b8d6bfcba83a6184365e67c196d5aa8b0d2f,,low,intake_unreviewed_not_KR,
Wave2/AD1105890_TowardpredictivemodelingofExBbplasmabdischarges.pdf,AD1105890,Towardpredictivemodelingof Ex B plasma discharges,19,2991021,548301391e2ac245167ead77c6f616aa2cf79175044dc3caf83d6f1f62bab585,,low,intake_unreviewed_not_KR,
Wave2/AD1142423_TheRigid-BeamModelforbSimulatingbbPlasmasbGeneratedby.pdf,AD1142423,The Rigid Beam Modelfor Simulating Plasmas Generated y,11,1272951,8201d8a7fca192c7b19bbccef0291b25212aec41682be961d21cd0681c4d95da,,low,intake_unreviewed_not_KR,
Wave2/AD1194307_EnablingReduced-OrderCollisional-RadiativeModelingforReactivePla.pdf,AD1194307,Ena ling Reduced Order Collisional Radiative Modelingfor Reactive Pla,41,16178655,3f5ffcf29a1174837033a875baeb1a772d1a0aed5c974d4d82b1f08c1cd11aad,,medium,intake_unreviewed_not_KR,
Wave2/AD1194307_EnablingReduced-OrderCollisional-RadiativeModelingforReactiveb.pdf,AD1194307,Ena ling Reduced Order Collisional Radiative Modelingfor Reactive,41,16178655,3f5ffcf29a1174837033a875baeb1a772d1a0aed5c974d4d82b1f08c1cd11aad,,medium,intake_unreviewed_not_KR,
Wave2/AD1194691_SimulatingaPulsed-Power-DrivenPlasmawithIdealbMHDb.pdf,AD1194691,Simulating a pulsed-power-driven plasma with ideal MHD,11,2764798,b5b77f274da5d975d9a026ff207679959f73f8c97fa0f137b2dfa34f81aa1b80,10.1063/5.0073242,medium,intake_unreviewed_not_KR,
Wave2/AD1194691_bSimulatingbaPulsed-Power-DrivenbPlasmabwithIdealMHD.pdf,AD1194691,Simulating a pulsed-power-driven plasma with ideal MHD,11,2764798,b5b77f274da5d975d9a026ff207679959f73f8c97fa0f137b2dfa34f81aa1b80,10.1063/5.0073242,medium,intake_unreviewed_not_KR,
Wave2/AD1300646_StudiesofbPlasmabSheathPhysicsusingContinuumKineticbSim.pdf,AD1300646,Studies of Plasma Sheath Physics using Continuum Kinetic Simulations of Plasmas,6,130256,e15a4b416ec0e492ce73a5b1129a2c0a030cbceecb5c10c81e24bdb1d5c26da1,,medium,intake_unreviewed_not_KR,
Wave2/AD1326156_PREDICTIVEANDPRACTICALbSIMULATIONSbOFbPLASMAbSYSTEMSA.pdf,AD1326156,PREDICTIVEANDPRACTICAL SIMULATIONS OF PLASMA SYSTEMSA,25,2530513,f40a112610c992d6623bb92869f86ca2eeb9f2eaceca9112ee0d1f95319a191e,,low,intake_unreviewed_not_KR,
Wave2/AD1331701_ExperimentModelingandbSimulationbofAdvancedMaterials-b.pdf,AD1331701,Experiment Modelingand Simulation of Advanced Materials,18,3402441,dc4703eb8af1330de08a944a63871a74ec518e9d2541c72548fc06f570041002,,low,intake_unreviewed_not_KR,
Wave2/AD1334827_AHybridModelforMultiscaleLaserbPlasmabbSimulationsbw.pdf,AD1334827,AHy rid Modelfor Multiscale Laser Plasma Simulations w,20,2008971,69b33ebe2e88a6d93eb6e41fccc08c2737aabf175cbb407bdbdbd651fee8037b,,low,intake_unreviewed_not_KR,
Wave2/AD1337397_Electronemissionbphysicsbbsimulationsb.pdf,AD1337397,Electronemission physics simulations,16,896498,4c71fbe527f7674beacf8813f5fc43db95bb6c7a82a935a5b68415ec3a5a8c9e,,low,intake_unreviewed_not_KR,
Wave2/AD1338034_ExperimentModelingandbSimulationbofAdvancedMaterials-b.pdf,AD1338034,Experiment Modelingand Simulation of Advanced Materials,18,3403242,ea1817c6d5049681873eaa8b5aeee0c3ba87d6d0a3d808e7206b5dbcf681b30b,,low,intake_unreviewed_not_KR,
Wave2/ADA462260_DeviceDemonstration.pdf,ADA462260,Device Demonstration,190,77059108,72fd2b544e20dfd1d8ca5273217b78696dbfdcbe939a9caa41196a91b41c74a9,,low,intake_unreviewed_not_KR,
Wave2/ADA610142_Characterizationofa500JbDensebbPlasmabbFocusbfor.pdf,ADA610142,CHARACTERIZATION OF A 500J DENSE PLASMA FOCUS FOR PRODUCING SOFT X-RAYS,5,392090,db2349b11e58e97dc7226321f1ed8062296f3a86db8d397034444a9d6337eb8e,,high,intake_unreviewed_not_KR,
Wave2/ADA635195_PFMA-1A1-Hz150-kJPulsedPowerSystemforPlasmaFocusGeneration.pdf,ADA635195,"PFMA-1: A 1-Hz, 150-kJ PULSED POWER SYSTEM FOR PLASMA FOCUS GENERATION",6,468040,9590eb6507db55e268053b12ff8fc7d47e720860f163d8581c092b370614a23a,,high,intake_unreviewed_not_KR,
Wave2/ADA635937_2DMHDComputerModelingofbDensebbPlasmabbFocusbAc.pdf,ADA635937,2D MHD COMPUTER MODELING OF DENSE PLASMA FOCUS ACCELERATORS,6,132260,74d0df14b491317892936789149417558b647a33c0045a7acde59366b5243b15,,high,intake_unreviewed_not_KR,
Wave2/ADA636210_bSnowplowbModelingofaLong-Conduction-TimePlasmaOpeningSwit.pdf,ADA636210,SNOWPLOW MODELING OF A LONG-CONDUCTION-TIME PLASMA OPENING SWITCH,5,541025,7b686fb62c50e1c2b059468c05f0def821fe6dac36f617a9c0ead1c5aca700d5,,medium,intake_unreviewed_not_KR,
Wave2/DSIAC-2195387_ClassicalTrajectoryMonteCarlobSimulationbofbPlasmabFu.pdf,DSIAC-2195387,Classical Trajectory Monte Carlo Simulation of Plasma Fu,9,2341632,31246535f2e0545ef96d3412e4777db4d0cde4a5c679a9fca94676dd7ab45c3e,10.1063/1.5110259,low,intake_unreviewed_not_KR,
Wave4/033302_1_5.0311453.pdf,033302_1_5.0311453,Formation and dynamics of Z-pinch plasma in a coaxial plasma gun,13,4773214,365ec9f0b28db4b111f0f12b57bfefbfee026b4ba11acbebe6a00ce7a51157ac,10.1063/5.0311453,medium,intake_unreviewed_not_KR,
Wave4/033302_1_5.0311453.pdf.crdownload,033302_1_5.0311453,033302 1 5.0311453,,4773214,365ec9f0b28db4b111f0f12b57bfefbfee026b4ba11acbebe6a00ce7a51157ac,,low,intake_unreviewed_not_KR,
Wave4/AD1079881_OptimizationofDensebPlasmabFocusDPFNeutronSourcesviaEx.pdf,AD1079881,Optimization of Dense Plasma Focus (DPF) Neutron Sources via Experiments and Kinetic Modeling,8,1224569,2c016fb54004f1a1a8ad3bdcc62826607d833adfe4b85cd01f66c3144f50689d,,high,already_in_repo_or_KR,docs/SCIENTIFIC_CLOSURE_SOURCE_QUEUE.md
Wave4/AD1105890_TowardpredictivemodelingofExBbplasmabdischarges.pdf,AD1105890,Towardpredictivemodelingof Ex B plasma discharges,19,2991021,548301391e2ac245167ead77c6f616aa2cf79175044dc3caf83d6f1f62bab585,,low,intake_unreviewed_not_KR,
Wave4/AD1230244_DevelopingMethodsofControlofSelf-OrganizedbPlasmabStructur.pdf,AD1230244,Developing Methodsof Controlof Self Organized Plasma Structur,17,630620,6d5767901062080300d981fc7f71b73a4dc4da28a5ba7c63f74d0bb1308fac38,,low,intake_unreviewed_not_KR,
Wave4/AD1302183_ReducingtheComputationalComplexityofImplicitSchemesintheModel.pdf,AD1302183,Reducing the computational complexity of implicit schemes in the modeling of kinetic inelastic collisions in a partially ionized plasma,25,3416818,62b3fa3523717d9cde8b1a5fb5ea15762d00fccd68787d1fc3e1d0baf31b2edb,10.1002/num.23121,low,intake_unreviewed_not_KR,
Wave4/Borges An improved weighted essentially non-oscillatory scheme for hyperbolic conservation laws.pdf,,An Improved Weighted Essentially Non-Oscillatory Scheme for Hyperbolic Conservation Laws,16,480399,18aac89e24e61fbc8b5a1c9f1550f680ade17b76411f6a97221f7ec6aa65fd2c,,medium,intake_unreviewed_not_KR,
Wave4/HDIAC-2191925_bWeightedbbEssentiallybbNonb-bOscillatorybbSc.pdf,HDIAC-2191925,Weighted Essentially Non-Oscillatory Schemes,32,340183,d14050ec8071e7010441f9d6eec5fb9a2803b717474696730892e513c71fd308,,low,intake_unreviewed_not_KR,
